Autosomes.1_19,Mitochondrial.M,Sex.XY,si,ar,fe,xray
1.0,0.0,0.0,0.278084466644162,0.381958175076699,1.33749502889967,0.614202352750382
1.0,0.0,0.0,-1.99019336713153,-0.184295077882791,-0.0385706621656442,1.24139681604024
1.0,0.0,0.0,-0.061046348304741,1.58679519799571,-0.912078123181657,-0.834447923089445
1.0,0.0,0.0,-0.264663790981375,0.272633625047692,-0.875959715932873,-0.126103665283145
1.0,0.0,0.0,-0.985231034036918,-0.148190320851508,0.242605105999843,2.00170965071408
1.0,0.0,0.0,-0.226415013409758,-1.28692188223231,-0.97928289215556,-1.09179714793688
1.0,0.0,0.0,-1.09877669111492,-0.600265111762386,1.50995138677885,-0.0228661575475521
1.0,0.0,0.0,-0.417161944470742,0.344200566888962,1.23996537129846,0.0600155768655944
1.0,0.0,0.0,-0.989301120895335,-0.0287824321926633,-1.26239652635191,-1.03543567733893
1.0,0.0,0.0,-0.653181530293188,0.645255725376152,0.0868110351274849,1.07282961101831
1.0,0.0,0.0,0.241178915883243,0.517232421922996,-1.22944976387091,0.097935566559158
1.0,0.0,0.0,-1.46267088479814,0.288569407268912,0.0741630013777562,1.17326851717881
1.0,0.0,0.0,-0.909898190483529,-0.402341729419787,0.118839332678497,1.84723738442953
1.0,0.0,0.0,-0.169130615375221,-0.3537588646919,-1.02322373672405,0.310675783721992
1.0,0.0,0.0,-1.92180991277519,-1.41875293736675,-1.03913460500251,-0.686505415561547
1.0,0.0,0.0,-0.27907316724494,-0.121944343353651,-0.629157121726167,0.257598819239049
1.0,0.0,0.0,-0.488320062826419,-0.223237789240202,-1.24291397595043,-1.08634259080299
1.0,0.0,0.0,-0.0584898065257352,0.162820279901002,1.6564878266669,0.567096972074925
1.0,0.0,0.0,-1.65810787689759,-0.0641934435604742,-0.553504585737473,1.60764042116013
1.0,0.0,0.0,-0.845025082114934,1.27821534636268,-0.0801966160013904,1.29959233456067
1.0,0.0,0.0,0.650369424009595,0.906898319771291,-1.24799257390453,-0.534616800286591
1.0,0.0,0.0,-0.151480583905663,1.34901570184778,-1.23856874058095,-0.76336910994195
1.0,0.0,0.0,-1.08532152530363,0.30966826266174,-0.773425437455091,1.53367734210565
1.0,0.0,0.0,-0.632315055524862,0.366897690038559,-1.17463861589066,-0.907200149996213
1.0,0.0,0.0,0.270277306320074,0.612208913585923,-1.23351408641592,-0.842714493810229
1.0,0.0,0.0,0.212686882284607,1.33262015743736,-0.84453079381787,-0.881090329270605
1.0,0.0,0.0,-0.0775710697324542,1.96275916653841,0.340521625182384,0.897424269238302
1.0,0.0,0.0,-0.120468984501032,-0.751206664535256,-1.26997676331217,-1.11431561170661
1.0,0.0,0.0,-0.518794769955758,0.664238159270898,-1.14372428545373,-0.0490647241815953
1.0,0.0,0.0,0.739794016042204,-0.017983214434154,-1.00931791722999,0.147660899941616
1.0,0.0,0.0,-0.596040686236077,-0.381339418156556,-1.26942811322655,-1.11898876202367
1.0,0.0,0.0,-1.85486573925396,-0.231548191640227,1.77497423781641,-0.0716260635333291
1.0,0.0,0.0,-2.08225294892428,1.06873857775309,-1.02668741183508,-0.0800606965014186
1.0,0.0,0.0,0.730616891283747,0.0760234274885206,0.463496959069847,1.06708274921778
1.0,0.0,0.0,-0.141791717262028,0.886197865486465,-1.20947342189511,-0.395113546793199
1.0,0.0,0.0,-0.627897643748908,-0.0720691302307349,-0.97525356963545,-0.395831029885822
1.0,0.0,0.0,0.25630087919318,-1.8662018961222,-1.25315706691776,-1.11274036570734
1.0,0.0,0.0,-0.170756722138756,-0.42842377495243,1.57911755548135,1.74085579825787
1.0,0.0,0.0,-2.06903886880043,1.18133647369091,-0.0703401007448074,0.474645350706853
1.0,0.0,0.0,-0.0137156976865753,0.895476533705234,-0.663744689744654,1.25422233203619
1.0,0.0,0.0,0.608196725615678,-1.38273191589587,2.19830959955263,-0.137512250640487
1.0,0.0,0.0,-0.7675974877637,2.46807977871452,0.564570662481358,1.5158787512421
1.0,0.0,0.0,-0.93409560108269,0.797480101143722,0.706485400738656,1.21094085616153
1.0,0.0,0.0,-0.639930271226723,1.88950810228452,0.913977407636325,-0.130744783205321
1.0,0.0,0.0,-0.971267819161238,0.197469761140622,-1.1868028103733,-0.395446201601354
1.0,0.0,0.0,-0.390981480300753,-1.33383078413221,-0.786974514763354,-1.08777600518506
1.0,0.0,0.0,0.867928532696089,-1.400420063724,2.00608155601499,-0.169624376847763
1.0,0.0,0.0,-1.86204674581548,0.732113574354377,-0.358795806852373,1.32429416634385
1.0,0.0,0.0,-1.38033618754819,-0.455550812173691,0.753958949656011,-0.354167598721429
1.0,0.0,0.0,-0.990247281853701,2.15728085729986,1.09122856688905,1.46201426955196
1.0,0.0,0.0,-2.05458629046933,-0.414353447546677,-1.20329369707706,-1.03883847966305
1.0,0.0,0.0,-2.15679278979137,1.16731695187062,-0.653016596877385,-0.284892998047471
1.0,0.0,0.0,-1.2566879715805,0.227804630894984,-1.19471322024125,-1.07589455985715
1.0,0.0,0.0,0.785532390943895,0.928221735023977,-0.282216705924966,-0.606865238175315
1.0,0.0,0.0,-0.158501409774947,0.440237107360886,-1.26497099621405,-1.06704885229406
1.0,0.0,0.0,-1.9285915170386,-0.723864799806553,-1.26646974446532,-1.08209767461853
1.0,0.0,0.0,-0.0842741251624222,1.34379662490418,-1.04396250393092,-0.909414435672217
1.0,0.0,0.0,-0.592909641044532,0.397263409827344,0.699853888156712,1.13547419927199
1.0,0.0,0.0,-0.289175111259539,1.37847970515087,0.00758969468520596,0.747388271807862
1.0,0.0,0.0,-1.13735805996919,-0.268931145795263,-1.25453083896798,-0.911326483363272
